target_gene	probe_count	annotated_ensembl_isoform_count	matched_probe_count	unmatched_probe_count	hit_isoform_count	hit_isoforms	common_to_all_probes_count	common_to_all_probes	distinct_probe_isoform_sets	classification
ACVR1	5	54	5	0	53	ENST00000263640.8,ENST00000409283.7,ENST00000410057.7,ENST00000412025.5,ENST00000424669.7,ENST00000434821.7,ENST00000440523.5,ENST00000487456.1,ENST00000539637.7,ENST00000672582.2,ENST00000681995.1,ENST00000682025.2,ENST00000682300.2,ENST00000682690.1,ENST00000683404.1,ENST00000683426.2,ENST00000683441.2,ENST00000683487.2,ENST00000683514.1,ENST00000683820.2,ENST00000684104.1,ENST00000684348.2,ENST00000684567.1,ENST00000684595.2,ENST00000864651.2,ENST00000864652.2,ENST00000864653.2,ENST00000864654.2,ENST00000864655.2,ENST00000864656.2,ENST00000864657.2,ENST00000864658.2,ENST00000864659.2,ENST00000864660.2,ENST00000864661.2,ENST00000864662.2,ENST00000864663.2,ENST00000864664.2,ENST00000933462.2,ENST00000945751.2,ENST00000945752.2,ENST00000945753.2,ENST00000945754.2,ENST00000945755.2,ENST00000945756.2,ENST00000945757.2,ENST00000945758.2,ENST00000945759.2,ENST00000945760.2,ENST00000945761.2,ENST00001042656.1,ENST00001042657.1,ENST00001145287.1	42	ENST00000263640.8,ENST00000409283.7,ENST00000410057.7,ENST00000424669.7,ENST00000434821.7,ENST00000539637.7,ENST00000672582.2,ENST00000682025.2,ENST00000682300.2,ENST00000682690.1,ENST00000683404.1,ENST00000683426.2,ENST00000683441.2,ENST00000683487.2,ENST00000683820.2,ENST00000684348.2,ENST00000684595.2,ENST00000864651.2,ENST00000864652.2,ENST00000864653.2,ENST00000864654.2,ENST00000864655.2,ENST00000864656.2,ENST00000864657.2,ENST00000864658.2,ENST00000864659.2,ENST00000864660.2,ENST00000864661.2,ENST00000864662.2,ENST00000864663.2,ENST00000864664.2,ENST00000945751.2,ENST00000945753.2,ENST00000945754.2,ENST00000945755.2,ENST00000945756.2,ENST00000945758.2,ENST00000945759.2,ENST00000945760.2,ENST00000945761.2,ENST00001042657.1,ENST00001145287.1	4	multiple_isoforms_differential_probe_coverage
ACVR1B	5	17	5	0	16	ENST00000257963.9,ENST00000415850.6,ENST00000426655.7,ENST00000536420.5,ENST00000541224.6,ENST00000542485.2,ENST00000900345.1,ENST00000900346.2,ENST00000900347.2,ENST00000900348.2,ENST00000900349.2,ENST00000900350.2,ENST00000916256.2,ENST00000994361.1,ENST00000994362.1,ENST00001135057.1	12	ENST00000257963.9,ENST00000415850.6,ENST00000426655.7,ENST00000541224.6,ENST00000542485.2,ENST00000900347.2,ENST00000900348.2,ENST00000900350.2,ENST00000916256.2,ENST00000994361.1,ENST00000994362.1,ENST00001135057.1	2	multiple_isoforms_differential_probe_coverage
ACVR2A	5	15	5	0	15	ENST00000241416.12,ENST00000404590.2,ENST00000462659.1,ENST00000465329.1,ENST00000487959.5,ENST00000495775.1,ENST00000535787.6,ENST00000873789.2,ENST00000935938.2,ENST00000943648.2,ENST00000943649.2,ENST00000943650.2,ENST00000943651.2,ENST00000943652.2,ENST00001144234.1	11	ENST00000241416.12,ENST00000404590.2,ENST00000535787.6,ENST00000873789.2,ENST00000935938.2,ENST00000943648.2,ENST00000943649.2,ENST00000943650.2,ENST00000943651.2,ENST00000943652.2,ENST00001144234.1	4	multiple_isoforms_differential_probe_coverage
ACVRL1	5	31	5	0	30	ENST00000388922.9,ENST00000419526.7,ENST00000547400.6,ENST00000547632.1,ENST00000550683.6,ENST00000551576.6,ENST00000552678.3,ENST00000713618.1,ENST00000713619.2,ENST00000910197.2,ENST00000910198.2,ENST00000910199.1,ENST00000910200.2,ENST00000910201.2,ENST00000910202.2,ENST00000910203.2,ENST00000910204.2,ENST00000910205.2,ENST00000942784.2,ENST00000942785.2,ENST00000942786.2,ENST00000942787.2,ENST00000981456.1,ENST00000981458.1,ENST00000981459.1,ENST00001027687.1,ENST00001027688.1,ENST00001027689.1,ENST00001102168.1,ENST00001119516.1	20	ENST00000388922.9,ENST00000547400.6,ENST00000550683.6,ENST00000551576.6,ENST00000910197.2,ENST00000910198.2,ENST00000910199.1,ENST00000910201.2,ENST00000910202.2,ENST00000910203.2,ENST00000910205.2,ENST00000942784.2,ENST00000981456.1,ENST00000981458.1,ENST00000981459.1,ENST00001027687.1,ENST00001027688.1,ENST00001027689.1,ENST00001102168.1,ENST00001119516.1	5	multiple_isoforms_differential_probe_coverage
ADGRA2	5	8	5	0	8	ENST00000315215.12,ENST00000412232.3,ENST00000428068.5,ENST00000875442.2,ENST00000923347.2,ENST00000947409.2,ENST00000947410.2,ENST00001136629.1	7	ENST00000315215.12,ENST00000412232.3,ENST00000875442.2,ENST00000923347.2,ENST00000947409.2,ENST00000947410.2,ENST00001136629.1	2	multiple_isoforms_differential_probe_coverage
ADGRA3	5	33	5	0	28	ENST00000282943.9,ENST00000334304.10,ENST00000502482.2,ENST00000506133.5,ENST00000506155.1,ENST00000508133.5,ENST00000511051.5,ENST00000514129.5,ENST00000878434.2,ENST00000878435.2,ENST00000878436.2,ENST00000983489.1,ENST00001029708.1,ENST00001029709.1,ENST00001029710.1,ENST00001029711.1,ENST00001029712.1,ENST00001029713.1,ENST00001059942.1,ENST00001059943.1,ENST00001059945.1,ENST00001059946.1,ENST00001108903.1,ENST00001108904.1,ENST00001115902.1,ENST00001115903.1,ENST00001115904.1,ENST00001134779.1	18	ENST00000282943.9,ENST00000334304.10,ENST00000878434.2,ENST00000878435.2,ENST00000878436.2,ENST00001029708.1,ENST00001029709.1,ENST00001029710.1,ENST00001029711.1,ENST00001029712.1,ENST00001029713.1,ENST00001059942.1,ENST00001059943.1,ENST00001059945.1,ENST00001108903.1,ENST00001115902.1,ENST00001115903.1,ENST00001134779.1	4	multiple_isoforms_differential_probe_coverage
ADGRB2	5	15	5	0	13	ENST00000373655.6,ENST00000373658.8,ENST00000398538.6,ENST00000398542.5,ENST00000398547.5,ENST00000398556.7,ENST00000420125.5,ENST00000465256.5,ENST00000466109.1,ENST00000527361.6,ENST00000530134.5,ENST00000530999.1,ENST00000533175.1	7	ENST00000373655.6,ENST00000373658.8,ENST00000398538.6,ENST00000398542.5,ENST00000398547.5,ENST00000398556.7,ENST00000527361.6	5	multiple_isoforms_differential_probe_coverage
ADGRB3	5	9	5	0	9	ENST00000238918.13,ENST00000370598.6,ENST00000546190.5,ENST00000603207.1,ENST00000604969.1,ENST00000684661.1,ENST00001108876.1,ENST00001112577.1,ENST00001135200.1	4	ENST00000370598.6,ENST00000546190.5,ENST00000684661.1,ENST00001135200.1	3	multiple_isoforms_differential_probe_coverage
ADGRD1	5	42	5	0	22	ENST00000261654.10,ENST00000335486.11,ENST00000376682.8,ENST00000446583.6,ENST00000535015.6,ENST00000543617.2,ENST00000544673.5,ENST00000545900.5,ENST00000881059.2,ENST00000881060.2,ENST00000881061.2,ENST00000881062.2,ENST00000881063.2,ENST00000964278.2,ENST00001014126.1,ENST00001112481.1,ENST00001112482.1,ENST00001112483.1,ENST00001124014.1,ENST00001124015.1,ENST00001124016.1,ENST00001138586.1	13	ENST00000261654.10,ENST00000535015.6,ENST00000881059.2,ENST00000881060.2,ENST00000881061.2,ENST00000881062.2,ENST00000881063.2,ENST00000964278.2,ENST00001014126.1,ENST00001112481.1,ENST00001124014.1,ENST00001124015.1,ENST00001138586.1	3	multiple_isoforms_differential_probe_coverage
ADGRE1	5	9	5	0	9	ENST00000250572.13,ENST00000312053.9,ENST00000381404.9,ENST00000381407.10,ENST00000450315.8,ENST00000595026.1,ENST00000596944.1,ENST00000601198.5,ENST00001141768.1	6	ENST00000250572.13,ENST00000312053.9,ENST00000381404.9,ENST00000381407.10,ENST00000450315.8,ENST00001141768.1	3	multiple_isoforms_differential_probe_coverage
ADGRE2	5	24	5	0	21	ENST00000315576.8,ENST00000360222.8,ENST00000392962.3,ENST00000392965.8,ENST00000594076.5,ENST00000594294.5,ENST00000595208.5,ENST00000595839.5,ENST00000596991.6,ENST00000601345.6,ENST00000904386.2,ENST00000904387.2,ENST00000904388.2,ENST00000904389.2,ENST00000904390.2,ENST00000938770.2,ENST00000938771.2,ENST00000944172.2,ENST00001107022.1,ENST00001131168.1,ENST00001138424.1	17	ENST00000315576.8,ENST00000360222.8,ENST00000392965.8,ENST00000594076.5,ENST00000594294.5,ENST00000595839.5,ENST00000596991.6,ENST00000601345.6,ENST00000904386.2,ENST00000904387.2,ENST00000904388.2,ENST00000904389.2,ENST00000904390.2,ENST00000938770.2,ENST00000938771.2,ENST00000944172.2,ENST00001138424.1	4	multiple_isoforms_differential_probe_coverage
ADGRE5	5	34	5	0	21	ENST00000242786.6,ENST00000357355.8,ENST00000358600.8,ENST00000877688.1,ENST00000877689.2,ENST00000877690.2,ENST00000922282.2,ENST00000952179.2,ENST00000952180.2,ENST00000952181.2,ENST00000952182.2,ENST00000952183.2,ENST00000952184.2,ENST00000989638.1,ENST00001054956.1,ENST00001054957.1,ENST00001054958.1,ENST00001054961.1,ENST00001054963.1,ENST00001054965.1,ENST00001135852.1	11	ENST00000242786.6,ENST00000357355.8,ENST00000358600.8,ENST00000877688.1,ENST00000877689.2,ENST00000952179.2,ENST00000952181.2,ENST00000952182.2,ENST00001054956.1,ENST00001054957.1,ENST00001135852.1	5	multiple_isoforms_differential_probe_coverage
ADGRF1	5	17	5	0	15	ENST00000371243.3,ENST00000371253.7,ENST00000419892.6,ENST00000449332.6,ENST00000471487.5,ENST00000474800.1,ENST00000475745.5,ENST00000477771.5,ENST00000487323.5,ENST00000491283.5,ENST00000493249.5,ENST00000890243.2,ENST00000890244.2,ENST00001109948.1,ENST00001137052.1	4	ENST00000371243.3,ENST00000371253.7,ENST00001109948.1,ENST00001137052.1	4	multiple_isoforms_differential_probe_coverage
ADGRF3	5	11	5	0	8	ENST00000311519.5,ENST00000333478.11,ENST00000421160.6,ENST00000435303.1,ENST00000447444.5,ENST00000459892.5,ENST00000651242.2,ENST00001140925.1	8	ENST00000311519.5,ENST00000333478.11,ENST00000421160.6,ENST00000435303.1,ENST00000447444.5,ENST00000459892.5,ENST00000651242.2,ENST00001140925.1	1	multiple_isoforms_same_probe_coverage
ADGRF4	5	8	5	0	8	ENST00000283303.3,ENST00000327753.8,ENST00000371220.5,ENST00000863460.2,ENST00000863461.2,ENST00000959108.2,ENST00001095715.1,ENST00001133553.1	5	ENST00000283303.3,ENST00000327753.8,ENST00000371220.5,ENST00000863461.2,ENST00001133553.1	2	multiple_isoforms_differential_probe_coverage
ADGRF5	5	43	5	0	37	ENST00000265417.8,ENST00000283296.12,ENST00000888944.2,ENST00000888945.1,ENST00000888946.2,ENST00000888947.2,ENST00000888948.2,ENST00000888949.2,ENST00000888950.2,ENST00000888951.2,ENST00000888952.2,ENST00000888954.2,ENST00000888955.2,ENST00000888957.2,ENST00000888959.2,ENST00000888961.2,ENST00000888963.2,ENST00000888965.2,ENST00000888966.2,ENST00000888967.2,ENST00000969000.2,ENST00000969001.2,ENST00000969002.2,ENST00000969003.2,ENST00000973388.1,ENST00000973389.1,ENST00000973390.1,ENST00000973391.1,ENST00000973392.1,ENST00000973393.1,ENST00000973394.1,ENST00000973395.1,ENST00000973396.1,ENST00001044232.1,ENST00001044233.1,ENST00001044234.1,ENST00001140468.1	36	ENST00000265417.8,ENST00000283296.12,ENST00000888944.2,ENST00000888945.1,ENST00000888946.2,ENST00000888947.2,ENST00000888948.2,ENST00000888949.2,ENST00000888950.2,ENST00000888951.2,ENST00000888952.2,ENST00000888954.2,ENST00000888955.2,ENST00000888957.2,ENST00000888959.2,ENST00000888961.2,ENST00000888963.2,ENST00000888965.2,ENST00000888966.2,ENST00000888967.2,ENST00000969000.2,ENST00000969001.2,ENST00000969002.2,ENST00000969003.2,ENST00000973388.1,ENST00000973389.1,ENST00000973390.1,ENST00000973391.1,ENST00000973392.1,ENST00000973393.1,ENST00000973394.1,ENST00000973395.1,ENST00001044232.1,ENST00001044233.1,ENST00001044234.1,ENST00001140468.1	2	multiple_isoforms_differential_probe_coverage
ADGRG1	5	128	5	0	61	ENST00000388813.10,ENST00000456916.6,ENST00000540164.7,ENST00000561988.5,ENST00000562558.7,ENST00000562631.7,ENST00000564907.5,ENST00000565391.1,ENST00000565505.1,ENST00000565539.5,ENST00000565976.7,ENST00000567835.6,ENST00000568908.6,ENST00000568909.6,ENST00000672974.1,ENST00000673126.3,ENST00000678252.1,ENST00000860530.2,ENST00000860534.2,ENST00000860536.2,ENST00000860538.2,ENST00000860540.2,ENST00000860541.2,ENST00000860542.2,ENST00000860543.2,ENST00000860544.2,ENST00000860545.2,ENST00000860546.2,ENST00000860547.2,ENST00000860548.2,ENST00000860549.2,ENST00000860550.2,ENST00000860551.2,ENST00000860552.2,ENST00000860553.2,ENST00000860554.2,ENST00000860555.2,ENST00000860556.2,ENST00000860557.2,ENST00000860558.2,ENST00000860559.2,ENST00000860560.2,ENST00000860561.2,ENST00000860562.2,ENST00000860563.2,ENST00000860564.2,ENST00000923220.2,ENST00000972394.2,ENST00000972395.2,ENST00000972396.2,ENST00000972397.2,ENST00000972398.2,ENST00000972399.2,ENST00000972400.2,ENST00000972401.2,ENST00000972402.2,ENST00000972403.2,ENST00000972404.2,ENST00000972405.2,ENST00001027723.1,ENST00001138021.1	56	ENST00000388813.10,ENST00000456916.6,ENST00000540164.7,ENST00000562558.7,ENST00000562631.7,ENST00000564907.5,ENST00000565539.5,ENST00000565976.7,ENST00000567835.6,ENST00000568908.6,ENST00000568909.6,ENST00000673126.3,ENST00000860530.2,ENST00000860534.2,ENST00000860536.2,ENST00000860538.2,ENST00000860540.2,ENST00000860541.2,ENST00000860542.2,ENST00000860543.2,ENST00000860544.2,ENST00000860545.2,ENST00000860546.2,ENST00000860547.2,ENST00000860548.2,ENST00000860549.2,ENST00000860550.2,ENST00000860551.2,ENST00000860552.2,ENST00000860553.2,ENST00000860554.2,ENST00000860555.2,ENST00000860556.2,ENST00000860557.2,ENST00000860558.2,ENST00000860559.2,ENST00000860560.2,ENST00000860561.2,ENST00000860562.2,ENST00000860563.2,ENST00000860564.2,ENST00000923220.2,ENST00000972394.2,ENST00000972395.2,ENST00000972396.2,ENST00000972397.2,ENST00000972398.2,ENST00000972399.2,ENST00000972400.2,ENST00000972401.2,ENST00000972402.2,ENST00000972403.2,ENST00000972404.2,ENST00000972405.2,ENST00001027723.1,ENST00001138021.1	4	multiple_isoforms_differential_probe_coverage
ADGRG2	5	26	5	0	25	ENST00000340581.4,ENST00000354791.8,ENST00000356606.9,ENST00000357544.8,ENST00000357991.8,ENST00000360279.9,ENST00000379869.8,ENST00000379873.7,ENST00000379876.6,ENST00000379878.8,ENST00000869010.2,ENST00000916544.2,ENST00000916545.2,ENST00000916546.2,ENST00000916547.2,ENST00000916548.2,ENST00000916549.2,ENST00000916550.2,ENST00000916551.2,ENST00000916552.2,ENST00000916553.2,ENST00000916554.2,ENST00000916555.2,ENST00000971549.2,ENST00001132056.1	20	ENST00000356606.9,ENST00000357544.8,ENST00000357991.8,ENST00000360279.9,ENST00000379869.8,ENST00000379873.7,ENST00000379876.6,ENST00000379878.8,ENST00000869010.2,ENST00000916544.2,ENST00000916545.2,ENST00000916546.2,ENST00000916549.2,ENST00000916550.2,ENST00000916551.2,ENST00000916552.2,ENST00000916553.2,ENST00000916554.2,ENST00000971549.2,ENST00001132056.1	2	multiple_isoforms_differential_probe_coverage
ADGRG3	5	13	5	0	13	ENST00000333493.9,ENST00000450388.8,ENST00000565579.5,ENST00000565902.1,ENST00000567991.5,ENST00000568245.5,ENST00000569977.1,ENST00000858859.2,ENST00000945139.2,ENST00001051208.1,ENST00001120294.1,ENST00001127308.1,ENST00001137411.1	8	ENST00000333493.9,ENST00000450388.8,ENST00000567991.5,ENST00000858859.2,ENST00000945139.2,ENST00001051208.1,ENST00001127308.1,ENST00001137411.1	3	multiple_isoforms_differential_probe_coverage
ADGRG5	5	14	5	0	13	ENST00000340339.5,ENST00000349457.8,ENST00000394361.8,ENST00000564607.1,ENST00000564983.5,ENST00000615867.5,ENST00000897109.2,ENST00001087318.1,ENST00001087320.1,ENST00001087321.1,ENST00001087322.1,ENST00001087323.1,ENST00001139424.1	11	ENST00000340339.5,ENST00000349457.8,ENST00000394361.8,ENST00000564607.1,ENST00000897109.2,ENST00001087318.1,ENST00001087320.1,ENST00001087321.1,ENST00001087322.1,ENST00001087323.1,ENST00001139424.1	3	multiple_isoforms_differential_probe_coverage
ADGRG6	5	24	5	0	18	ENST00000230173.11,ENST00000296932.14,ENST00000367608.7,ENST00000367609.8,ENST00000415128.6,ENST00000435011.6,ENST00000541199.5,ENST00000545477.1,ENST00000968517.2,ENST00000968518.2,ENST00001042393.1,ENST00001108355.1,ENST00001108356.1,ENST00001108357.1,ENST00001108358.1,ENST00001108359.1,ENST00001120004.1,ENST00001137718.1	8	ENST00000230173.11,ENST00000296932.14,ENST00000367608.7,ENST00000367609.8,ENST00000968517.2,ENST00000968518.2,ENST00001042393.1,ENST00001137718.1	5	multiple_isoforms_differential_probe_coverage
ADGRL1	5	19	5	0	9	ENST00000340736.11,ENST00000361434.8,ENST00000591528.1,ENST00000672030.1,ENST00000672190.1,ENST00000673576.1,ENST00000963580.2,ENST00000963581.2,ENST00001139358.1	7	ENST00000340736.11,ENST00000361434.8,ENST00000672190.1,ENST00000673576.1,ENST00000963580.2,ENST00000963581.2,ENST00001139358.1	2	multiple_isoforms_differential_probe_coverage
